,inDegree,count
0,1,5003
1,2,10257
2,3,11772
3,4,11097
4,5,12264
5,6,9019
6,7,6716
7,8,4807
8,9,3810
9,10,2881
10,11,2407
11,12,1835
12,13,1454
13,14,1291
14,15,1187
15,16,935
16,17,729
17,18,675
18,19,635
19,20,500
20,21,399
21,22,349
22,23,272
23,24,249
24,25,228
25,26,234
26,27,226
27,28,154
28,29,177
29,30,117
30,31,131
31,32,188
32,33,102
33,34,114
34,35,100
35,36,62
36,37,65
37,38,78
38,39,49
39,40,53
40,41,44
41,42,55
42,43,76
43,44,44
44,45,40
45,46,46
46,47,54
47,48,29
48,49,26
49,50,22
50,51,21
51,52,30
52,53,24
53,54,16
54,55,33
55,56,12
56,57,10
57,58,14
58,59,10
59,60,8
60,61,15
61,62,17
62,63,8
63,64,12
64,65,6
65,66,3
66,67,7
67,68,7
68,69,4
69,70,3
70,71,6
71,72,6
72,74,6
73,75,8
74,76,5
75,77,2
76,78,4
77,79,3
78,80,4
79,81,6
80,82,8
81,83,2
82,84,2
83,86,3
84,88,2
85,89,3
86,90,2
87,91,2
88,92,2
89,93,2
90,99,1
91,100,1
92,101,3
93,103,1
94,104,2
95,105,2
96,106,1
97,107,2
98,112,1
99,114,2
100,115,2
101,116,1
102,120,2
103,123,1
104,125,2
105,131,2
106,135,1
107,139,1
108,140,1
109,146,1
110,149,1
111,150,1
112,157,1
113,162,1
114,173,1
115,204,1
116,213,1
