,inDegree,count
0,156,1
1,159,1
2,162,2
3,163,1
4,166,1
5,170,2
6,172,4
7,173,3
8,174,5
9,175,6
10,176,2
11,177,4
12,178,3
13,179,4
14,180,12
15,181,9
16,182,13
17,183,12
18,184,20
19,185,12
20,186,18
21,187,17
22,188,25
23,189,26
24,190,16
25,191,25
26,192,33
27,193,30
28,194,27
29,195,29
30,196,37
31,197,30
32,198,30
33,199,19
34,200,36
35,201,41
36,202,42
37,203,31
38,204,29
39,205,30
40,206,21
41,207,22
42,208,26
43,209,21
44,210,15
45,211,24
46,212,29
47,213,21
48,214,12
49,215,10
50,216,13
51,217,14
52,218,9
53,219,10
54,220,8
55,221,9
56,222,11
57,223,8
58,224,4
59,225,2
60,226,2
61,227,3
62,228,1
63,229,3
64,230,2
65,231,3
66,233,5
67,235,2
68,238,1
69,239,1
